trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
44,False,"{'a': 0.5, 'e': 0.7799999999999998}",30,4,-106.19397695181034,"{0: 16, 1: 2, 2: 6, 3: 1, 4: 1}",1
45,False,"{'a': 0.5, 'e': 0.7749999999999998}",20,0,-128.36647481189198,"{0: 11, 1: 4, 2: 2, 3: 1, 4: 2}",0
46,False,"{'a': 0.5, 'e': 0.7699999999999998}",25,11,-74.17252511670932,"{0: 8, 1: 1, 2: 4, 3: 0, 4: 1}",1
47,False,"{'a': 0.5, 'e': 0.7649999999999998}",20,6,-42.95057268276169,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 1}",1
48,False,"{'a': 0.5, 'e': 0.7599999999999998}",25,0,-158.8586094013796,"{0: 18, 1: 1, 2: 2, 3: 0, 4: 4}",0
49,False,"{'a': 0.5, 'e': 0.7549999999999998}",20,3,-13.490286097041455,"{0: 14, 1: 1, 2: 1, 3: 1, 4: 0}",1
50,False,"{'a': 0.5, 'e': 0.7499999999999998}",30,0,-115.7950663426787,"{0: 21, 1: 1, 2: 6, 3: 0, 4: 2}",0
51,False,"{'a': 0.5, 'e': 0.7449999999999998}",25,0,-107.5621546989335,"{0: 16, 1: 2, 2: 4, 3: 2, 4: 1}",0
52,False,"{'a': 0.5, 'e': 0.7399999999999998}",25,0,-77.71556564551116,"{0: 19, 1: 1, 2: 3, 3: 1, 4: 1}",0
53,False,"{'a': 0.5, 'e': 0.7349999999999998}",20,0,-62.81093219873505,"{0: 15, 1: 1, 2: 1, 3: 3, 4: 0}",0
54,False,"{'a': 0.5, 'e': 0.7299999999999998}",30,0,-90.55868315930897,"{0: 21, 1: 5, 2: 1, 3: 2, 4: 1}",0
55,False,"{'a': 0.5, 'e': 0.7249999999999998}",20,0,-61.802921961549124,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
56,False,"{'a': 0.5, 'e': 0.7199999999999998}",30,2,-69.51167100362488,"{0: 21, 1: 2, 2: 3, 3: 1, 4: 1}",1
57,False,"{'a': 0.5, 'e': 0.7149999999999997}",25,0,-75.82888441830646,"{0: 15, 1: 3, 2: 6, 3: 1, 4: 0}",0
58,False,"{'a': 0.5, 'e': 0.7099999999999997}",35,0,-85.37390118862697,"{0: 25, 1: 0, 2: 9, 3: 0, 4: 1}",0
59,False,"{'a': 0.5, 'e': 0.7049999999999997}",25,0,-233.648584611845,"{0: 14, 1: 2, 2: 2, 3: 3, 4: 4}",0
60,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,-140.1085978513562,"{0: 11, 1: 2, 2: 4, 3: 1, 4: 2}",0
61,False,"{'a': 0.5, 'e': 0.6949999999999997}",20,13,0.9085858601263386,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
62,False,"{'a': 0.5, 'e': 0.6899999999999997}",30,0,-25.029921722649398,"{0: 26, 1: 3, 2: 0, 3: 0, 4: 1}",0
63,False,"{'a': 0.5, 'e': 0.6849999999999997}",25,0,1.3851265832767319,"{0: 22, 1: 2, 2: 1, 3: 0, 4: 0}",0
64,False,"{'a': 0.5, 'e': 0.6799999999999997}",20,0,-31.44311131340399,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
65,False,"{'a': 0.5, 'e': 0.6749999999999997}",20,1,-76.69562084025232,"{0: 11, 1: 4, 2: 3, 3: 0, 4: 1}",1
66,False,"{'a': 0.5, 'e': 0.6699999999999997}",20,5,-53.08212468718118,"{0: 11, 1: 1, 2: 1, 3: 1, 4: 1}",1
67,False,"{'a': 0.5, 'e': 0.6649999999999997}",35,3,-95.87678142219767,"{0: 24, 1: 2, 2: 4, 3: 0, 4: 2}",1
68,False,"{'a': 0.5, 'e': 0.6599999999999997}",20,0,-43.06477387352112,"{0: 13, 1: 3, 2: 3, 3: 1, 4: 0}",0
69,False,"{'a': 0.5, 'e': 0.6549999999999997}",20,9,-13.868793225220722,"{0: 8, 1: 1, 2: 2, 3: 0, 4: 0}",1
70,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,4,-7.954157134482665,"{0: 13, 1: 0, 2: 3, 3: 0, 4: 0}",1
71,False,"{'a': 0.5, 'e': 0.6449999999999997}",20,0,-60.43044628817882,"{0: 15, 1: 2, 2: 1, 3: 1, 4: 1}",0
72,False,"{'a': 0.5, 'e': 0.6399999999999997}",20,0,-44.96565453856131,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
73,False,"{'a': 0.5, 'e': 0.6349999999999997}",20,5,-44.33466867529431,"{0: 13, 1: 0, 2: 0, 3: 1, 4: 1}",1
74,False,"{'a': 0.5, 'e': 0.6299999999999997}",20,7,-69.13377360198872,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 2}",1
75,False,"{'a': 0.5, 'e': 0.6249999999999997}",20,0,-58.17685246626637,"{0: 13, 1: 4, 2: 2, 3: 0, 4: 1}",0
76,False,"{'a': 0.5, 'e': 0.6199999999999997}",25,12,0.8683230833912501,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 0}",1
77,False,"{'a': 0.5, 'e': 0.6149999999999997}",25,8,-37.03364464412492,"{0: 13, 1: 2, 2: 1, 3: 0, 4: 1}",1
78,False,"{'a': 0.5, 'e': 0.6099999999999997}",20,6,-0.498916268743943,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
79,False,"{'a': 0.5, 'e': 0.6049999999999996}",25,2,-78.01324571287293,"{0: 17, 1: 2, 2: 1, 3: 2, 4: 1}",1
80,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,0,6.9929075951198065,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
81,False,"{'a': 0.5, 'e': 0.5949999999999996}",20,0,-51.74549728752601,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
82,False,"{'a': 0.5, 'e': 0.5899999999999996}",20,0,-10.503063419481593,"{0: 17, 1: 2, 2: 0, 3: 1, 4: 0}",0
83,False,"{'a': 0.5, 'e': 0.5849999999999996}",30,0,-123.00591050346821,"{0: 21, 1: 2, 2: 4, 3: 1, 4: 2}",0
84,False,"{'a': 0.5, 'e': 0.5799999999999996}",25,9,-11.730802978650885,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 1}",1
85,False,"{'a': 0.5, 'e': 0.5749999999999996}",20,0,-36.395279537229634,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
86,False,"{'a': 0.5, 'e': 0.5699999999999996}",20,0,-42.07411032684289,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
87,False,"{'a': 0.5, 'e': 0.5649999999999996}",25,0,-41.166543162457565,"{0: 18, 1: 2, 2: 4, 3: 1, 4: 0}",0
88,False,"{'a': 0.5, 'e': 0.5599999999999996}",20,0,-5.25529515147855,"{0: 17, 1: 2, 2: 0, 3: 1, 4: 0}",0
89,False,"{'a': 0.5, 'e': 0.5549999999999996}",20,13,-13.490652152138336,"{0: 5, 1: 0, 2: 2, 3: 0, 4: 0}",1
90,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,3,-50.05620296255021,"{0: 11, 1: 1, 2: 4, 3: 1, 4: 0}",1
